mut_types,mut_layer_name,mut_result
LC,decoded.12,True
LC,decoded.9,True
LC,decoded.11,True
LC,encoded.7,True
LC,encoded.11,True
LC,decoded.7,True
LC,encoded.9,True
LC,decoded.1,True
LC,decoded.5,True
LC,decoded.13,True
LC,encoded.5,True
LC,encoded.15,True
LC,decoded.15,True
LC,encoded.3,True
LC,decoded.8,True
LC,encoded.1,True
LC,encoded.6,True
LC,encoded.17,True
LC,encoded.13,True
LC,decoded.19,True
LC,encoded.10,True
LC,decoded.17,True
LC,decoded.3,True
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
