mut_types,mut_layer_name,mut_result
SM,feature_map.backbone.layer1.0.conv2.0,True
SM,feature_map.backbone.layer4.6.conv1.2,True
SM,feature_map.backbone.layer5.1.conv1.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.6.conv2.2,True
SM,feature_map.backbone.conv1.0,True
SM,feature_map.backbone.layer4.4.conv2.2,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.4.conv1.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.2.conv1.2,True
SM,feature_map.backbone.layer3.3.conv2.2,True
SM,feature_map.backbone.layer3.1.conv1.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.1.conv1.2,True
SM,feature_map.backbone.layer3.5.conv2.0,True
SM,feature_map.backbone.conv2.2,True
SM,feature_map.backbone.conv3.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer2.0.conv2.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.6.conv1.2,True
SM,feature_map.backbone.layer3.7.conv2.0,True
SM,feature_map.backbone.layer1.0.conv1.2,True
SM,feature_map.backbone.layer3.2.conv2.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer5.0.conv1.2,True
SM,feature_map.backbone.layer4.2.conv1.0,True
SM,feature_map.backbone.layer4.3.conv2.0,True
SM,feature_map.backbone.conv3.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.2.conv2.1,True
SM,feature_map.backbone.conv4.2,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.4.conv1.1,True
SM,feature_map.backbone.layer3.1.conv1.1,True
SM,feature_map.backbone.conv2.2,True
SM,feature_map.backbone.conv4.0,True
SM,feature_map.backbone.layer4.0.conv2.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.conv4.2,True
SM,feature_map.backbone.layer3.7.conv2.0,True
SM,feature_map.backbone.layer3.1.conv1.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.conv1.2,True
SM,feature_map.backbone.layer3.5.conv2.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer2.0.conv2.1,True
SM,feature_map.backbone.layer4.7.conv2.0,True
SM,feature_map.backbone.layer4.5.conv1.0,True
SM,feature_map.backbone.layer3.3.conv2.2,True
SM,feature_map.backbone.layer3.3.conv2.2,True
SM,feature_map.backbone.layer3.1.conv1.1,True
SM,feature_map.backbone.layer3.3.conv1.0,True
SM,feature_map.backbone.layer5.3.conv2.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.4.conv2.0,True
SM,feature_map.backbone.layer5.1.conv2.0,True
SM,feature_map.backbone.conv5.0,True
SM,feature_map.backbone.layer4.0.conv2.2,True
SM,feature_map.backbone.layer3.3.conv1.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.1.conv1.2,True
SM,feature_map.backbone.layer5.2.conv2.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.4.conv1.0,True
SM,feature_map.backbone.layer4.5.conv2.2,True
SM,feature_map.backbone.layer3.2.conv2.0,True
SM,feature_map.backbone.layer3.5.conv2.1,True
SM,feature_map.backbone.layer4.2.conv2.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.conv5.1,True
SM,feature_map.backbone.layer4.4.conv1.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer5.3.conv2.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.7.conv2.1,True
SM,feature_map.backbone.layer2.0.conv2.1,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer4.3.conv2.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.conv0.0,True
SM,feature_map.backbone.layer2.1.conv2.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.6.conv1.0,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer1.0.conv1.2,True
SM,no,SM set layers failure
SM,feature_map.backbone.layer3.0.conv2.0,True
SM,feature_map.backbone.layer3.5.conv1.2,True
