mut_types,mut_layer_name,mut_result
GF,layer3.5.conv1,True
GF,layer3.2.relu,True
GF,layer3.1.bn1,True
GF,layer4.1.conv2,True
GF,conv1,True
GF,layer4.0.conv3,True
GF,layer4.2.bn2,True
GF,layer3.0.conv3,True
GF,layer4.0.conv2,True
GF,layer3.5.conv2,True
GF,layer2.1.conv3,True
GF,layer2.0.down_sample_layer.0,True
GF,layer1.0.conv3,True
GF,layer3.3.relu,True
GF,layer1.1.bn3,True
GF,layer4.0.bn2,True
GF,end_point,True
GF,layer3.1.bn3,True
GF,layer3.2.conv3,True
GF,conv1,True
GF,layer3.4.bn2,True
GF,layer4.2.conv1,True
GF,layer1.2.bn2,True
GF,layer2.3.bn1,True
GF,layer3.3.bn2,True
GF,layer3.4.bn3,True
GF,layer1.2.conv2,True
GF,layer2.0.conv3,True
GF,layer2.1.conv2,True
GF,layer3.5.conv1,True
GF,layer1.0.conv3,True
GF,layer3.2.conv2,True
GF,layer4.2.relu,True
GF,layer4.1.conv3,True
GF,layer3.4.bn2,True
GF,layer2.2.conv1,True
GF,layer4.2.bn3,True
GF,layer4.1.conv3,True
GF,layer3.5.conv2,True
GF,layer2.0.bn2,True
GF,layer4.1.bn3,True
GF,layer3.0.conv1,True
GF,layer2.2.conv2,True
GF,layer4.2.relu,True
GF,layer2.0.down_sample_layer.0,True
GF,layer3.0.relu,True
GF,layer2.1.bn2,True
GF,layer2.2.bn2,True
GF,layer3.1.bn3,True
GF,layer3.3.bn3,True
GF,layer4.0.conv1,True
GF,layer4.2.conv1,True
GF,layer2.1.conv3,True
GF,end_point,True
GF,layer1.1.conv3,True
GF,layer2.1.conv2,True
GF,layer3.4.conv2,True
GF,layer2.0.bn3,True
GF,layer1.1.conv1,True
GF,layer1.1.conv3,True
GF,conv1,True
GF,layer1.2.conv3,True
GF,layer3.0.bn2,True
GF,layer2.2.conv2,True
GF,layer1.0.down_sample_layer.1,True
GF,layer4.2.relu,True
GF,layer3.0.conv3,True
GF,layer4.1.relu,True
GF,layer1.1.bn1,True
GF,layer1.1.relu,True
GF,layer3.3.relu,True
GF,layer3.0.bn1,True
GF,layer1.0.relu,True
GF,layer1.0.conv2,True
GF,relu,True
GF,layer4.1.conv3,True
GF,layer3.2.conv2,True
GF,layer3.4.bn1,True
GF,layer3.2.conv2,True
GF,layer4.2.bn2,True
GF,layer3.0.conv3,True
GF,layer4.2.conv3,True
GF,layer1.0.conv3,True
GF,layer3.1.bn3,True
GF,layer3.1.bn1,True
GF,layer4.2.relu,True
GF,layer3.0.conv1,True
GF,layer3.0.bn1,True
GF,layer1.2.conv2,True
GF,layer4.0.down_sample_layer.0,True
GF,layer1.2.relu,True
GF,layer4.1.conv2,True
GF,layer3.5.conv1,True
GF,layer3.2.conv1,True
GF,layer1.0.relu,True
GF,layer2.2.bn3,True
GF,layer2.1.conv1,True
GF,layer2.1.conv1,True
GF,layer2.0.conv3,True
GF,layer2.0.down_sample_layer.1,True
