mut_types,mut_layer_name,mut_result
LC,no,LC set layers failure
LC,network.24.2,True
LC,network.19.0,True
LC,network.18.2,True
LC,no,LC set layers failure
LC,network.19.1,True
LC,network.6.0,True
LC,no,LC set layers failure
LC,network.20.0,True
LC,network.16.0,True
LC,network.14.0,True
LC,network.5.0,True
LC,network.5.2,True
LC,network.11.2,True
LC,network.26.2,True
LC,network.0.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.9.2,True
LC,network.5.1,True
LC,network.1.2,True
LC,no,LC set layers failure
LC,network.8.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.6.1,True
LC,no,LC set layers failure
LC,network.15.2,True
LC,network.2.2,True
LC,network.21.0,True
LC,network.10.2,True
LC,network.3.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.10.0,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.25.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.4.2,True
LC,network.20.1,True
LC,network.14.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.16.1,True
LC,network.23.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.25.0,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.1.0,True
LC,no,LC set layers failure
LC,network.22.2,True
LC,network.17.0,True
LC,network.20.2,True
LC,network.21.2,True
LC,no,LC set layers failure
LC,network.1.1,True
LC,network.26.0,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.17.2,True
LC,network.12.2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.25.1,True
LC,network.21.1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.13.2,True
LC,network.16.2,True
LC,no,LC set layers failure
LC,network.17.1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.18.0,True
LC,network.9.0,True
LC,network.15.0,True
LC,network.19.2,True
LC,network.6.2,True
LC,network.13.0,True
LC,network.22.0,True
LC,network.15.1,True
LC,network.13.1,True
LC,network.26.1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,network.14.1,True
