mut_types,mut_layer_name,mut_result
NS,layer2.1.conv3,True
NS,conv1,True
NS,layer3.5.conv2,True
NS,layer1.0.conv3,True
NS,layer2.2.conv1,True
NS,layer1.0.downsample.0,True
NS,layer3.0.conv1,True
NS,layer1.2.conv1,True
NS,layer3.5.conv1,True
NS,layer1.0.conv2,True
NS,layer1.2.conv1,True
NS,layer1.2.conv1,True
NS,conv1,True
NS,layer3.0.downsample.0,True
NS,layer2.0.conv3,True
NS,layer2.0.conv3,True
NS,layer3.5.conv2,True
NS,layer1.1.conv2,True
NS,layer3.0.conv3,True
NS,layer2.1.conv2,True
NS,layer3.2.conv3,True
NS,layer3.2.conv2,True
NS,layer1.0.conv3,True
NS,layer3.4.conv1,True
NS,layer2.2.conv3,True
NS,layer2.0.conv3,True
NS,layer3.2.conv1,True
NS,layer2.2.conv3,True
NS,layer3.5.conv3,True
NS,layer1.1.conv3,True
NS,layer3.0.conv2,True
NS,layer2.1.conv3,True
NS,layer2.2.conv3,True
NS,layer2.0.conv1,True
NS,layer1.0.downsample.0,True
NS,layer3.4.conv3,True
NS,layer2.3.conv1,True
NS,layer3.0.conv3,True
NS,layer2.3.conv1,True
NS,layer3.3.conv1,True
NS,layer3.1.conv3,True
NS,layer1.0.conv1,True
NS,layer1.2.conv3,True
NS,layer3.1.conv1,True
NS,layer1.0.downsample.0,True
NS,layer1.0.conv3,True
NS,layer3.0.conv2,True
NS,layer3.0.conv1,True
NS,layer2.3.conv1,True
NS,layer3.2.conv2,True
NS,layer3.3.conv2,True
NS,layer3.4.conv3,True
NS,layer1.0.conv1,True
NS,layer3.1.conv3,True
NS,layer3.0.conv1,True
NS,layer3.5.conv3,True
NS,layer2.0.conv2,True
NS,layer1.1.conv3,True
NS,layer3.3.conv3,True
NS,layer2.0.conv1,True
NS,layer1.2.conv1,True
NS,layer2.1.conv3,True
NS,layer2.0.conv3,True
NS,layer3.0.conv3,True
NS,layer3.3.conv3,True
NS,layer2.0.conv3,True
NS,layer3.2.conv1,True
NS,layer3.4.conv2,True
NS,layer3.3.conv1,True
NS,layer3.4.conv1,True
NS,layer3.5.conv1,True
NS,layer2.3.conv2,True
NS,layer2.0.conv1,True
NS,layer2.3.conv2,True
NS,layer2.0.downsample.0,True
NS,layer3.2.conv2,True
NS,layer3.3.conv3,True
NS,layer2.0.conv1,True
NS,layer2.3.conv2,True
NS,layer1.0.conv3,True
NS,layer3.1.conv1,True
NS,conv1,True
NS,layer2.1.conv3,True
NS,layer1.0.conv1,True
NS,layer1.0.conv1,True
NS,layer1.1.conv3,True
NS,layer2.2.conv1,True
NS,layer2.0.conv3,True
NS,conv1,True
NS,layer2.3.conv1,True
NS,layer2.1.conv1,True
NS,layer2.2.conv3,True
NS,layer2.2.conv3,True
NS,layer3.4.conv1,True
NS,layer3.2.conv1,True
NS,layer1.0.conv3,True
NS,layer2.3.conv2,True
NS,layer1.0.downsample.0,True
NS,layer3.0.conv3,True
NS,layer3.5.conv3,True
