mut_types,mut_layer_name,mut_result
WS,stage_4.conv2_L1,True
WS,stage_5.conv1_L2,True
WS,stage_6.conv1_L2,True
WS,stage_5.conv6_L2,True
WS,stage_4.conv5_L2,True
WS,stage_4.conv1_L1,True
WS,stage_4.conv4_L1,True
WS,stage_2.conv6_L2,True
WS,stage_6.conv5_L1,True
WS,stage_3.conv5_L2,True
WS,base.vgg_base.layers.21,True
WS,stage_6.conv5_L2,True
WS,stage_1.conv2_CPM_L1,True
WS,stage_6.conv6_L1,True
WS,stage_6.conv6_L1,True
WS,stage_1.conv3_CPM_L2,True
WS,stage_6.conv6_L1,True
WS,stage_1.conv1_CPM_L2,True
WS,base.vgg_base.layers.16,True
WS,stage_2.conv1_L2,True
WS,stage_2.conv6_L1,True
WS,stage_4.conv1_L2,True
WS,stage_3.conv3_L2,True
WS,stage_2.conv2_L1,True
WS,stage_6.conv5_L1,True
WS,stage_6.conv1_L1,True
WS,stage_4.conv3_L2,True
WS,stage_5.conv5_L2,True
WS,stage_6.conv7_L1,True
WS,stage_5.conv3_L1,True
WS,stage_2.conv7_L2,True
WS,stage_2.conv1_L2,True
WS,stage_6.conv5_L1,True
WS,stage_5.conv4_L2,True
WS,stage_5.conv4_L2,True
WS,stage_4.conv4_L2,True
WS,stage_4.conv6_L1,True
WS,stage_1.conv3_CPM_L2,True
WS,stage_3.conv5_L2,True
WS,stage_1.conv5_CPM_L2,True
WS,stage_2.conv4_L1,True
WS,stage_4.conv5_L2,True
WS,stage_5.conv3_L2,True
WS,stage_4.conv1_L2,True
WS,stage_4.conv5_L1,True
WS,stage_6.conv6_L2,True
WS,base.vgg_base.layers.14,True
WS,stage_4.conv1_L1,True
WS,stage_6.conv3_L2,True
WS,stage_3.conv6_L1,True
WS,stage_2.conv3_L1,True
WS,stage_6.conv6_L2,True
WS,stage_5.conv1_L2,True
WS,stage_5.conv6_L1,True
WS,stage_5.conv6_L1,True
WS,stage_1.conv5_CPM_L2,True
WS,stage_1.conv2_CPM_L1,True
WS,stage_4.conv3_L2,True
WS,stage_3.conv4_L1,True
WS,stage_6.conv2_L1,True
WS,stage_5.conv4_L1,True
WS,stage_2.conv7_L1,True
WS,stage_5.conv3_L2,True
WS,stage_4.conv6_L1,True
WS,stage_5.conv1_L1,True
WS,stage_3.conv4_L2,True
WS,stage_4.conv6_L2,True
WS,stage_4.conv3_L1,True
WS,stage_4.conv7_L2,True
WS,stage_4.conv6_L1,True
WS,stage_6.conv7_L1,True
WS,stage_2.conv3_L2,True
WS,stage_2.conv7_L1,True
WS,stage_3.conv1_L1,True
WS,stage_2.conv5_L2,True
WS,stage_2.conv3_L2,True
WS,stage_3.conv6_L2,True
WS,stage_1.conv5_CPM_L2,True
WS,stage_4.conv1_L1,True
WS,stage_6.conv4_L2,True
WS,stage_4.conv6_L1,True
WS,stage_6.conv3_L1,True
WS,stage_5.conv3_L1,True
WS,stage_3.conv7_L2,True
WS,stage_3.conv2_L2,True
WS,stage_4.conv6_L1,True
WS,stage_4.conv1_L1,True
WS,base.vgg_base.layers.5,True
WS,stage_3.conv5_L2,True
WS,stage_6.conv6_L1,True
WS,stage_1.conv4_CPM_L1,True
WS,base.vgg_base.layers.0,True
WS,stage_3.conv3_L2,True
WS,stage_5.conv6_L2,True
WS,stage_4.conv6_L1,True
WS,stage_3.conv6_L1,True
WS,stage_6.conv1_L2,True
WS,stage_3.conv7_L2,True
WS,stage_6.conv2_L2,True
WS,base.vgg_base.layers.5,True
